{'loss': 0.6928, 'grad_norm': 1.25, 'learning_rate': 5e-05, 'rewards/chosen': 0.002577605191618204, 'rewards/rejected': 0.001468400820158422, 'rewards/accuracies': 0.4124999940395355, 'rewards/margins': 0.0011092043714597821, 'logps/rejected': -146.68641662597656, 'logps/chosen': -142.4328155517578, 'logits/rejected': -0.2428296059370041, 'logits/chosen': -0.23622170090675354, 'epoch': 1.0}
{'loss': 0.6479, 'grad_norm': 1.6875, 'learning_rate': 0.0001, 'rewards/chosen': 0.0858267992734909, 'rewards/rejected': -0.008509347215294838, 'rewards/accuracies': 0.9312499761581421, 'rewards/margins': 0.09433613717556, 'logps/rejected': -146.77688598632812, 'logps/chosen': -141.5663604736328, 'logits/rejected': -0.23823586106300354, 'logits/chosen': -0.23975184559822083, 'epoch': 2.0}
{'loss': 0.4407, 'grad_norm': 1.96875, 'learning_rate': 0.00015, 'rewards/chosen': 0.33190685510635376, 'rewards/rejected': -0.305012583732605, 'rewards/accuracies': 1.0, 'rewards/margins': 0.6369194984436035, 'logps/rejected': -149.74642944335938, 'logps/chosen': -139.13101196289062, 'logits/rejected': -0.24200019240379333, 'logits/chosen': -0.22992317378520966, 'epoch': 3.0}
{'loss': 0.1408, 'grad_norm': 3.28125, 'learning_rate': 0.0002, 'rewards/chosen': -0.10552303493022919, 'rewards/rejected': -2.5665273666381836, 'rewards/accuracies': 1.0, 'rewards/margins': 2.4610042572021484, 'logps/rejected': -172.34634399414062, 'logps/chosen': -143.4873046875, 'logits/rejected': -0.4294605255126953, 'logits/chosen': -0.39072301983833313, 'epoch': 4.0}
{'loss': 0.0056, 'grad_norm': 0.08056640625, 'learning_rate': 0.00025, 'rewards/chosen': -2.7241597175598145, 'rewards/rejected': -9.60981273651123, 'rewards/accuracies': 1.0, 'rewards/margins': 6.885653018951416, 'logps/rejected': -242.77676391601562, 'logps/chosen': -169.66708374023438, 'logits/rejected': -0.8573352694511414, 'logits/chosen': -0.8102736473083496, 'epoch': 5.0}
{'loss': 0.0004, 'grad_norm': 0.00958251953125, 'learning_rate': 0.0003, 'rewards/chosen': -5.222208499908447, 'rewards/rejected': -15.21733283996582, 'rewards/accuracies': 1.0, 'rewards/margins': 9.995123863220215, 'logps/rejected': -298.8852233886719, 'logps/chosen': -194.6522674560547, 'logits/rejected': -1.080451250076294, 'logits/chosen': -1.0315169095993042, 'epoch': 6.0}
{'loss': 0.0002, 'grad_norm': 0.00787353515625, 'learning_rate': 0.00035, 'rewards/chosen': -6.568577766418457, 'rewards/rejected': -17.748971939086914, 'rewards/accuracies': 1.0, 'rewards/margins': 11.180395126342773, 'logps/rejected': -324.17388916015625, 'logps/chosen': -208.116455078125, 'logits/rejected': -1.1382521390914917, 'logits/chosen': -1.0893287658691406, 'epoch': 7.0}
{'loss': 0.0001, 'grad_norm': 0.0022125244140625, 'learning_rate': 0.0004, 'rewards/chosen': -6.8697028160095215, 'rewards/rejected': -18.77070426940918, 'rewards/accuracies': 1.0, 'rewards/margins': 11.901001930236816, 'logps/rejected': -334.3948669433594, 'logps/chosen': -211.12588500976562, 'logits/rejected': -1.1437469720840454, 'logits/chosen': -1.1045310497283936, 'epoch': 8.0}
{'loss': 0.0, 'grad_norm': 0.002655029296875, 'learning_rate': 0.00045000000000000004, 'rewards/chosen': -6.787541389465332, 'rewards/rejected': -19.06496810913086, 'rewards/accuracies': 1.0, 'rewards/margins': 12.277427673339844, 'logps/rejected': -337.3362731933594, 'logps/chosen': -210.32901000976562, 'logits/rejected': -1.146265983581543, 'logits/chosen': -1.103515386581421, 'epoch': 9.0}
{'loss': 0.0, 'grad_norm': 0.001434326171875, 'learning_rate': 0.0005, 'rewards/chosen': -6.774724006652832, 'rewards/rejected': -19.194442749023438, 'rewards/accuracies': 1.0, 'rewards/margins': 12.419717788696289, 'logps/rejected': -338.62799072265625, 'logps/chosen': -210.188720703125, 'logits/rejected': -1.144907832145691, 'logits/chosen': -1.101175308227539, 'epoch': 10.0}
{'eval_loss': 0.024658266454935074, 'eval_runtime': 2.5581, 'eval_samples_per_second': 3.909, 'eval_steps_per_second': 3.909, 'eval_rewards/chosen': -8.458393096923828, 'eval_rewards/rejected': -18.7832088470459, 'eval_rewards/accuracies': 1.0, 'eval_rewards/margins': 10.324816703796387, 'eval_logps/rejected': -344.3588562011719, 'eval_logps/chosen': -237.1150665283203, 'eval_logits/rejected': -1.2262107133865356, 'eval_logits/chosen': -1.15546715259552, 'epoch': 10.0}
