{'loss': 0.6933, 'grad_norm': 1.359375, 'learning_rate': 5e-05, 'rewards/chosen': 0.006380899343639612, 'rewards/rejected': 0.006320441607385874, 'rewards/accuracies': 0.35624998807907104, 'rewards/margins': 6.045941336196847e-05, 'logps/rejected': -131.63601684570312, 'logps/chosen': -149.08944702148438, 'logits/rejected': -0.010195283219218254, 'logits/chosen': 0.002989898668602109, 'epoch': 0.0}
{'loss': 0.6824, 'grad_norm': 1.4453125, 'learning_rate': 0.0001, 'rewards/chosen': 0.16566577553749084, 'rewards/rejected': 0.14086207747459412, 'rewards/accuracies': 0.5562499761581421, 'rewards/margins': 0.024803686887025833, 'logps/rejected': -117.12630462646484, 'logps/chosen': -137.46502685546875, 'logits/rejected': 0.007269869092851877, 'logits/chosen': 0.035508014261722565, 'epoch': 0.01}
{'loss': 0.6798, 'grad_norm': 1.7421875, 'learning_rate': 0.00015, 'rewards/chosen': 0.5973218679428101, 'rewards/rejected': 0.5367429852485657, 'rewards/accuracies': 0.5687500238418579, 'rewards/margins': 0.06057890132069588, 'logps/rejected': -116.44161224365234, 'logps/chosen': -130.08358764648438, 'logits/rejected': -0.034613847732543945, 'logits/chosen': -0.037745341658592224, 'epoch': 0.01}
{'loss': 0.6541, 'grad_norm': 1.46875, 'learning_rate': 0.0002, 'rewards/chosen': 0.7467204332351685, 'rewards/rejected': 0.6053668260574341, 'rewards/accuracies': 0.625, 'rewards/margins': 0.14135363698005676, 'logps/rejected': -133.19248962402344, 'logps/chosen': -144.9991455078125, 'logits/rejected': -0.10477165132761002, 'logits/chosen': -0.10387895256280899, 'epoch': 0.01}
{'loss': 0.6441, 'grad_norm': 1.8671875, 'learning_rate': 0.00025, 'rewards/chosen': 0.5240449905395508, 'rewards/rejected': 0.3239436745643616, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.20010128617286682, 'logps/rejected': -124.1763687133789, 'logps/chosen': -146.4375762939453, 'logits/rejected': -0.14901868999004364, 'logits/chosen': -0.12895210087299347, 'epoch': 0.02}
{'loss': 0.6571, 'grad_norm': 2.1875, 'learning_rate': 0.0003, 'rewards/chosen': 1.392397165298462, 'rewards/rejected': 1.0498524904251099, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.34254467487335205, 'logps/rejected': -132.28292846679688, 'logps/chosen': -140.54684448242188, 'logits/rejected': -0.22640879452228546, 'logits/chosen': -0.21658305823802948, 'epoch': 0.02}
{'loss': 0.6844, 'grad_norm': 1.6796875, 'learning_rate': 0.00035, 'rewards/chosen': 0.6760105490684509, 'rewards/rejected': 0.4848746657371521, 'rewards/accuracies': 0.637499988079071, 'rewards/margins': 0.19113583862781525, 'logps/rejected': -117.17628479003906, 'logps/chosen': -140.26927185058594, 'logits/rejected': -0.2596699595451355, 'logits/chosen': -0.2524240016937256, 'epoch': 0.02}
{'loss': 0.6227, 'grad_norm': 1.6796875, 'learning_rate': 0.0004, 'rewards/chosen': 0.6068755388259888, 'rewards/rejected': 0.36380499601364136, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': 0.24307051301002502, 'logps/rejected': -113.76191711425781, 'logps/chosen': -123.04642486572266, 'logits/rejected': -0.2406347244977951, 'logits/chosen': -0.19377706944942474, 'epoch': 0.03}
{'loss': 0.6429, 'grad_norm': 1.75, 'learning_rate': 0.00045000000000000004, 'rewards/chosen': 0.5446018576622009, 'rewards/rejected': 0.18026405572891235, 'rewards/accuracies': 0.6625000238418579, 'rewards/margins': 0.36433783173561096, 'logps/rejected': -129.79086303710938, 'logps/chosen': -141.08131408691406, 'logits/rejected': -0.4016551077365875, 'logits/chosen': -0.31347891688346863, 'epoch': 0.03}
{'loss': 0.677, 'grad_norm': 2.84375, 'learning_rate': 0.0005, 'rewards/chosen': 0.4002697467803955, 'rewards/rejected': 0.11547652631998062, 'rewards/accuracies': 0.59375, 'rewards/margins': 0.2847931981086731, 'logps/rejected': -134.55416870117188, 'logps/chosen': -147.75889587402344, 'logits/rejected': -0.33460113406181335, 'logits/chosen': -0.2822486460208893, 'epoch': 0.03}
{'eval_loss': 0.6578788757324219, 'eval_runtime': 3463.2982, 'eval_samples_per_second': 3.508, 'eval_steps_per_second': 3.508, 'eval_rewards/chosen': 0.9815144538879395, 'eval_rewards/rejected': 0.6175863742828369, 'eval_rewards/accuracies': 0.6258951425552368, 'eval_rewards/margins': 0.3639281392097473, 'eval_logps/rejected': -125.08364868164062, 'eval_logps/chosen': -138.0931396484375, 'eval_logits/rejected': -0.25918278098106384, 'eval_logits/chosen': -0.1915649175643921, 'epoch': 0.03}
